 sd04_i_codigo | sd04_i_unidade | sd04_i_medico | sd04_c_situacao 
           764 |         135002 |          1250 | A
           766 |         135002 |         93989 | A
           767 |         135002 |          2084 | A
           768 |         135002 |         78043 | A
           823 |         135003 |         95366 | D
           770 |         135013 |         95376 | A
           771 |         135013 |         95421 | A
           811 |         135018 |         61811 | D
           773 |         135002 |          2109 | A
           774 |         135003 |          1259 | A
           777 |           1392 |         72670 | A
           779 |         135014 |          2109 | A
           780 |         135009 |          2032 | A
           781 |         135008 |          1979 | A
           782 |         135003 |          2032 | A
           783 |         135002 |         95357 | A
           784 |         135004 |         95376 | A
           786 |         135437 |         95360 | A
           788 |         135005 |         59581 | A
           789 |         135002 |         89271 | A
           790 |         135003 |         95436 | A
           791 |         135013 |         95367 | A
           792 |         135022 |         95367 | A
           793 |           1392 |         85969 | A
           794 |           1392 |         95436 | A
           795 |           1392 |         95369 | A
           796 |         135017 |         76348 | A
           740 |         135011 |         84097 | A
           799 |           1392 |         95343 | A
           800 |           1392 |         95376 | A
           801 |           1392 |         78976 | A
           802 |           1392 |          1159 | A
           804 |         135002 |         67560 | A
           805 |         135008 |         95357 | A
           807 |         135002 |          1164 | A
           808 |         135014 |         95378 | A
           809 |         135437 |          1259 | A
             5 |            341 |         95349 | A
           812 |         135007 |         58926 | A
           813 |           1392 |         95457 | A
           814 |           1392 |         95368 | A
           815 |         135002 |           478 | A
           816 |         135013 |          1163 | A
           817 |           1392 |         67560 | A
           819 |         135025 |         95343 | A
           820 |         135437 |         95457 | A
           821 |         135007 |         95436 | A
           822 |           1392 |         95366 | A
           810 |         135018 |         95459 | D
           824 |           1392 |         56771 | A
           825 |           1392 |          4879 | A
           826 |         135025 |         61811 | A
           827 |           1392 |         59717 | A
           828 |           1392 |         95344 | A
           829 |         135022 |         95457 | A
           830 |         135008 |         78043 | A
           831 |           1392 |         95461 | A
           834 |         135020 |         95462 | A
           835 |         135002 |         59581 | A
           836 |           1392 |         89094 | A
           837 |           1392 |         92075 | A
           838 |         135002 |          2090 | A
           839 |         135002 |         95433 | A
           840 |           1392 |          1163 | A
             6 |            341 |         95422 | A
           842 |         135002 |         95469 | A
           843 |         135013 |          1159 | A
           845 |         135007 |         95439 | A
           846 |         135002 |         95344 | A
           847 |         135002 |         92075 | A
           848 |         135002 |         95366 | A
           849 |           1350 |          1324 | A
           850 |         135002 |         91914 | A
            10 |         135010 |         95611 | A
          1010 |            341 |         68610 | A
           950 |         135027 |         96070 | A
           854 |           1392 |          1260 | A
           949 |         135027 |         96069 | A
           856 |         135013 |         59717 | A
           857 |           1392 |         78043 | A
           858 |         135007 |          1163 | A
           951 |           1350 |         96209 | A
           860 |           1392 |         95378 | A
           869 |         135027 |         95474 | A
           863 |           1392 |         89271 | A
           865 |         135002 |         95343 | A
           866 |         135018 |         93186 | A
           867 |         135027 |         93165 | A
           918 |         135026 |         95368 | A
           870 |         135002 |         95474 | A
           871 |         135011 |         95457 | A
           872 |         135002 |         74394 | A
           873 |           1392 |         95439 | A
           875 |         135022 |         92075 | A
           876 |           1392 |          1989 | A
           878 |         135018 |          1260 | A
           879 |           1392 |         45592 | A
           880 |         135008 |         67560 | A
           881 |         135004 |         95457 | A
           882 |         135009 |         95343 | A
           883 |         135022 |          1163 | A
           884 |         135035 |         95367 | A
           885 |         135013 |         95474 | A
           887 |         135008 |         95368 | A
           299 |           1350 |         95364 | D
           851 |         135018 |         95367 | D
           894 |         135034 |         95367 | A
           895 |         135022 |         61811 | A
           896 |           1392 |         61811 | A
           897 |         135030 |          1168 | A
           898 |         135009 |         95369 | A
           899 |           1392 |         95452 | A
           900 |         135013 |         45592 | A
           901 |         135005 |         95344 | A
           902 |         135008 |         95343 | A
           904 |         135030 |         95367 | A
           905 |         135024 |         76599 | A
           906 |           1392 |         95419 | A
           907 |           1392 |         59581 | A
           908 |         135002 |         95436 | A
           909 |         135009 |          1159 | A
           910 |         135437 |          1163 | A
           911 |         135024 |          1163 | A
           912 |         135013 |         95457 | A
           913 |           1392 |         87485 | A
           914 |         135008 |         61811 | A
           916 |         135020 |         45592 | A
           917 |         135013 |         92075 | A
           919 |         135025 |         95368 | A
           921 |         135011 |         89271 | A
           517 |           1392 |         53915 | A
           329 |           1392 |           479 | A
           605 |         135025 |          1979 | A
           438 |         135437 |         67560 | A
           729 |         135005 |         86043 | A
           595 |         135024 |         86043 | A
           712 |         135025 |         86043 | A
           217 |           1350 |           483 | A
          1013 |            341 |         95367 | A
           296 |         135016 |         33305 | A
          1038 |         135011 |         95476 | A
          1039 |         135042 |         95425 | A
          1040 |         135042 |         75284 | A
          1041 |         135042 |         95376 | A
           891 |         135006 |         58347 | D
           584 |         135437 |           478 | D
           520 |         135008 |          1168 | D
           886 |         135018 |         95366 | D
           892 |         135018 |          1163 | D
           545 |           1350 |         78688 | A
           422 |           1350 |         95362 | A
           455 |           1350 |         72021 | A
           861 |         135018 |         89094 | D
           915 |         135018 |         95439 | D
           656 |           1350 |          1168 | A
           877 |         135018 |         92075 | D
           841 |         135018 |         67560 | D
           576 |           1350 |         68776 | A
           862 |           1350 |         73469 | A
           681 |           1350 |         59888 | A
           492 |           1350 |         95359 | A
          1077 |         135002 |          4875 | A
          1044 |           1350 |         95430 | A
          1047 |           1350 |         95360 | A
          1054 |           1350 |         95470 | A
          1057 |         135010 |         95373 | A
          1060 |           1350 |         90762 | A
           316 |           1350 |         95356 | A
           890 |         135002 |          1163 | A
          1063 |           1350 |         93989 | A
          1064 |         135016 |          1259 | A
          1065 |         135002 |         95362 | A
          1066 |         135002 |          1168 | A
          1080 |            341 |         78172 | A
          1090 |         135002 |         96918 | A
          1092 |         135008 |         59717 | A
          1093 |         135002 |         59717 | A
          1094 |         135024 |         95433 | A
          1095 |           1350 |         97113 | A
          1096 |           1350 |         97112 | A
          1097 |         135012 |         97125 | A
           772 |         135008 |          2104 | D
          1100 |         135437 |         87485 | A
          1101 |            341 |         77075 | A
          1102 |         135005 |         96660 | A
          1103 |            341 |         95352 | A
          1062 |           1350 |         86321 | A
          1104 |         135024 |         86321 | A
          1105 |         135006 |         86321 | A
          1106 |         135028 |         97113 | A
          1107 |         123234 |         95395 | A
          1108 |            341 |         81845 | A
          1109 |         135011 |         74069 | A
          1110 |         135437 |         95383 | A
          1111 |         135009 |         87485 | A
          1098 |           1350 |         81845 | A
          1059 |           1350 |         95468 | D
          1121 |         135006 |         96660 | A
           630 |           1350 |         76223 | D
          1042 |           1350 |         91914 | D
           759 |           1350 |          4879 | D
          1089 |           1350 |         95400 | D
           832 |         135018 |         95457 | D
           797 |         135018 |         59717 | D
           833 |         135018 |         45592 | D
           761 |           1350 |         95363 | D
          1051 |           1350 |         95465 | D
          1055 |           1350 |         95425 | D
           735 |           1350 |         95481 | D
           229 |         135008 |          1164 | D
           568 |           1350 |         25028 | D
           787 |           1350 |         95457 | D
          1061 |           1350 |          1183 | D
           514 |           1350 |         88464 | D
          1053 |           1350 |         95466 | D
           635 |           1350 |         95473 | D
          1046 |           1350 |         58919 | D
          1045 |           1350 |         95429 | D
          1067 |           1350 |         95450 | D
          1049 |           1350 |          2084 | D
           434 |           1350 |         45592 | D
           634 |           1350 |         95376 | A
           344 |           1350 |         67560 | D
          1056 |           1350 |         95440 | D
          1048 |           1350 |         95398 | D
          1085 |           1350 |         93188 | D
           508 |           1350 |         95416 | D
           526 |           1350 |         86043 | A
          1058 |           1350 |          2109 | D
           578 |           1350 |         95462 | D
          1122 |         135006 |         97113 | A
          1050 |           1350 |         95464 | A
           785 |           1350 |           478 | D
          1123 |         135003 |         97112 | A
          1112 |         135011 |         91146 | A
          1043 |           1350 |         95377 | D
           769 |         135008 |         76348 | D
           498 |         135008 |           478 | D
           317 |           1350 |         75284 | A
          1114 |            341 |         79044 | A
           528 |           1350 |         89271 | A
           708 |           1350 |         78043 | A
          1052 |           1350 |         39391 | A
          1115 |           1350 |         95611 | A
          1124 |         135004 |         86043 | A
           338 |           1350 |         95374 | A
          1091 |           1350 |         80502 | A
          1117 |         135003 |         95376 | A
          1118 |           1350 |         58926 | A
           411 |         123234 |         92040 | D
           462 |         123234 |         94904 | D
           473 |         123234 |          1259 | D
           484 |         123234 |         95445 | D
           483 |         123234 |         95444 | D
           415 |         123234 |         95413 | D
           409 |         123234 |         86273 | D
           354 |         123234 |         95386 | D
           464 |         123234 |         75284 | D
           357 |         123234 |         82085 | D
           365 |         123234 |         88139 | D
           412 |         123234 |         95410 | D
           410 |         123234 |         86020 | D
           360 |         123234 |         95390 | D
           361 |         123234 |         76508 | D
          1119 |         135005 |         95611 | A
           245 |         135005 |         95345 | D
          1120 |         135014 |         89271 | A
          1125 |         135006 |         86043 | A
          1126 |           1350 |          2032 | A
          1127 |         135011 |          4194 | A
          1128 |           1350 |         95351 | A
          1129 |           1350 |         98025 | A
          1130 |         135024 |         95611 | A
          1131 |         135004 |         90762 | A
          1132 |         135005 |         98025 | A
          1141 |         135011 |         98025 | A
             1 |            341 |         80502 | A
             2 |         135009 |         97113 | A
             7 |            341 |         95467 | A
            11 |         135003 |         86321 | A
            12 |           1350 |          1164 | A
            13 |            341 |         67031 | A
            15 |         135003 |         97125 | A
            16 |         135014 |         95611 | A
            17 |         135005 |          1163 | A
            18 |         135007 |         86321 | A
            19 |            341 |         98025 | A
            20 |         135005 |         97112 | A
            21 |         135014 |         97112 | A
            22 |         135004 |         86321 | A
            23 |           1350 |         85576 | A
            24 |           1350 |        105217 | A
            25 |           1350 |          4169 | A
            26 |         135024 |        105216 | A
            27 |         135011 |         95082 | A
            28 |         135011 |         80635 | A
            29 |         135011 |         60698 | A
            30 |           1350 |         82000 | A
            31 |            341 |         97103 | A
            32 |            341 |         87626 | A
(806 registros)

