111 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SETE LAGOAS | 4 | Privada | 2 | Privada | MG | 31 | 3167202 | EXTINTA
122 | FACULDADE DE ENGENHARIA DE AGRIMENSURA DE ARARAQUARA | 4 | Privada | 2 | Privada | SP | 35 | 3503208 | EXTINTA
123 | FACULDADE DE ENGENHARIA CIVIL DE ARARAQUARA | 4 | Privada | 2 | Privada | SP | 35 | 3503208 | EXTINTA
124 | CENTRO UNIVERSITÁRIO DE ARARAQUARA | 4 | Privada | 2 | Privada | SP | 35 | 3503208 | ATIVA
125 | CENTRO UNIVERSITÁRIO DE ARARAS - "DR. EDMUNDO ULSON" - UNAR | 4 | Privada | 2 | Privada | SP | 35 | 3503307 | ATIVA
126 | INSTITUTO NACIONAL DE TELECOMUNICAÇÕES | 4 | Privada | 2 | Privada | MG | 31 | 3159605 | ATIVA
127 | FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE ATIBAIA | 4 | Privada | 2 | Privada | SP | 35 | 3504107 | EXTINTA
128 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE TEÓFILO OTONI | 4 | Privada | 2 | Privada | MG | 31 | 3168606 | EXTINTA
129 | FACULDADE DE DIREITO DE TEÓFILO OTONI | 4 | Privada | 2 | Privada | MG | 31 | 3168606 | EXTINTA
130 | FACULDADE DE ADMINISTRAÇÃO DE TEÓFILO OTONI | 4 | Privada | 2 | Privada | MG | 31 | 3168606 | EXTINTA
131 | FACULDADE DE EDUCAÇÃO FÍSICA DE BARRA BONITA | 4 | Privada | 2 | Privada | SP | 35 | 3505302 | ATIVA
132 | FACULDADE DE EDUCAÇÃO ANTÔNIO AUGUSTO REIS NEVES | 4 | Privada | 2 | Privada | SP | 35 | 3505500 | EXTINTA
133 | FACULDADE DE CIÊNCIAS CONTÁBEIS DE BARRETOS | 4 | Privada | 2 | Privada | SP | 35 | 3505500 | EXTINTA
134 | FACULDADE DE TECNOLOGIA E PROCESSAMENTO DE DADOS - BARRETOS | 4 | Privada | 2 | Privada | SP | 35 | 3505500 | EXTINTA
135 | CENTRO UNIVERSITÁRIO CLARETIANO | 4 | Privada | 2 | Privada | SP | 35 | 3505906 | ATIVA
136 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE BEBEDOURO | 4 | Privada | 2 | Privada | SP | 35 | 3506102 | EXTINTA
137 | UNIVERSIDADE DO SAGRADO CORAÇÃO | 4 | Privada | 2 | Privada | SP | 35 | 3506003 | ATIVA
138 | CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ | 4 | Privada | 2 | Privada | SP | 35 | 3543402 | ATIVA
139 | FACULDADE DE CIÊNCIAS ECONÔMICAS DO TRIÂNGULO MINEIRO | 4 | Privada | 2 | Privada | MG | 31 | 3170107 | ATIVA
140 | UNIVERSIDADE SEVERINO SOMBRA | 4 | Privada | 2 | Privada | RJ | 33 | 3306206 | ATIVA
141 | FACULDADE DE DIREITO DE VARGINHA - FADIVA | 4 | Privada | 2 | Privada | MG | 31 | 3170701 | ATIVA
142 | CENTRO UNIVERSITÁRIO DO TRIÂNGULO | 4 | Privada | 2 | Privada | MG | 31 | 3170206 | ATIVA
143 | UNIVERSIDADE DE UBERABA | 4 | Privada | 2 | Privada | MG | 31 | 3170107 | ATIVA
144 | FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA | 4 | Privada | 2 | Privada | PE | 26 | 2609600 | ATIVA
145 | FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
146 | CENTRO UNIVERSITÁRIO DE RIO PRETO | 4 | Privada | 2 | Privada | SP | 35 | 3549805 | ATIVA
149 | FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO | 2 | Estadual | 1 | Pública | SP | 35 | 3549805 | ATIVA
150 | UNIVERSIDADE DE SOROCABA | 4 | Privada | 2 | Privada | SP | 35 | 3552205 | ATIVA
151 | ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | ATIVA
152 | FACULDADE DE CIÊNCIAS CONTÁBEIS | 4 | Privada | 2 | Privada | BA | 29 | 2927408 | ATIVA
158 | CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
159 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CARUARU | 4 | Privada | 2 | Privada | PE | 26 | 2604106 | ATIVA
160 | FACULDADE FRASSINETTI DO RECIFE | 4 | Privada | 2 | Privada | PE | 26 | 2611606 | ATIVA
161 | CENTRO UNIVERSITÁRIO ASSUNÇÃO | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | ATIVA
162 | CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | ATIVA
163 | UNIVERSIDADE ESTÁCIO DE SÁ | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
165 | UNIVERSIDADE VEIGA DE ALMEIDA | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
166 | FACULDADE DE ADMINISTRAÇÃO E INFORMÁTICA | 4 | Privada | 2 | Privada | MG | 31 | 3159605 | ATIVA
167 | UNIVERSIDADE METODISTA DE SÃO PAULO | 4 | Privada | 2 | Privada | SP | 35 | 3548708 | ATIVA
170 | FACULDADES DA FUNDAÇÃO DE ENSINO DE MOCOCA | 3 | Municipal | 1 | Pública | SP | 35 | 3530508 | ATIVA
171 | FACULDADE DE DIREITO DO SUL DE MINAS | 4 | Privada | 2 | Privada | MG | 31 | 3152501 | ATIVA
172 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS EUGÊNIO PACELLI | 4 | Privada | 2 | Privada | MG | 31 | 3152501 | EXTINTA
173 | FACULDADE DE CIÊNCIAS MÉDICAS DR. JOSÉ ANTONIO GARCIA COUTINHO | 4 | Privada | 2 | Privada | MG | 31 | 3152501 | EXTINTA
174 | INSTITUTO SUPERIOR DE ESTUDOS SOCIAIS CLÓVIS BEVILACQUA | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | EXTINTA
176 | UNIVERSIDADE CASTELO BRANCO | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
177 | FACULDADE DE CIÊNCIAS ECONÔMICAS E DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO JOSÉ DO RIO PRETO | 4 | Privada | 2 | Privada | SP | 35 | 3549805 | EXTINTA
178 | FACULDADE DE ENGENHARIA DE SÃO JOSÉ DO RIO PRETO | 4 | Privada | 2 | Privada | SP | 35 | 3549805 | EXTINTA
179 | FACULDADE DE ARQUITETURA E URBANISMO DE SÃO JOSÉ DO RIO PRETO | 4 | Privada | 2 | Privada | SP | 35 | 3549805 | EXTINTA
180 | FACULDADE DE DIREITO DE CARUARU | 4 | Privada | 2 | Privada | PE | 26 | 2604106 | ATIVA
181 | FACULDADE DE ODONTOLOGIA DE CARUARU | 4 | Privada | 2 | Privada | PE | 26 | 2604106 | ATIVA
190 | ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
191 | FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DE EMPRESAS | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
192 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SOUZA MARQUES | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
193 | FACULDADE DE ENGENHARIA SOUZA MARQUES | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
