28| 6| 2006| 200| 4|43| 5| 0|Apr| 0| 381|65| 1| 0|4|26|||
29| 6| 2006| 200| 4|43| 6| 0|Apr| 0| 381|86| 1| 0|4|27|||
30| 6| 2006| 200| 4|43| 7| 0|Apr| 0| 381|79| 1| 0|4|28|||
31| 6| 2006| 200| 4|43| 8| 0|Apr| 0| 381|80| 1| 0|4|29|||
32| 6| 2003| 200| 1| 11| 2| 0|Apr| 0| 433|98| 1| 0|1|30|||
33| 6| 2003| 200| 1| 11| 1| 0|Apr| 0| 433|84| 1| 0|1|31|||
34| 6| 2003| 200| 1| 11| 3| 0|Apr| 0| 433|95| 1| 0|1|32|||
35| 6| 2003| 200| 1| 11| 6| 0|Apr| 0| 433|96| 1| 0|1|33|||
36| 6| 2003| 200| 1| 11| 7| 0|Apr| 0| 433|90| 1| 0|1|34|||
37| 6| 2003| 200| 1| 11| 8| 0|Apr| 0| 433|95| 1| 0|1|35|||
38| 6| 2003| 200| 1| 11| 9| 0|Apr| 0| 433|98| 1| 0|1|36|||
39| 6| 2004| 200| 2| 21| 2| 0|Apr| 0| 433|86| 1| 0|2|37|||
40| 6| 2004| 200| 2| 21| 1| 0|Apr| 0| 433|91| 1| 0|2|38|||
41| 6| 2004| 200| 2| 21| 3| 0|Apr| 0| 433|85| 1| 0|2|39|||
42| 6| 2004| 200| 2| 21| 6| 0|Apr| 0| 433|89| 1| 0|2|40|||
43| 6| 2004| 200| 2| 21| 7| 0|Apr| 0| 433|92| 1| 0|2|41|||
44| 6| 2004| 200| 2| 21| 8| 0|Apr| 0| 433|88| 1| 0|2|42|||
45| 6| 2004| 200| 2| 21| 9| 0|Apr| 0| 433|91| 1| 0|2|43|||
46| 6| 2005| 200| 3| 31| 2| 0|Apr| 0| 433|81| 1| 0|3|44|||
47| 6| 2005| 200| 3| 31| 1| 0|Apr| 0| 433|88| 1| 0|3|45|||
48| 6| 2005| 200| 3| 31| 3| 0|Apr| 0| 433|85| 1| 0|3|46|||
49| 6| 2005| 200| 3| 31| 6| 0|Apr| 0| 433|80| 1| 0|3|47|||
50| 6| 2005| 200| 3| 31| 7| 0|Apr| 0| 433|82| 1| 0|3|48|||
51| 6| 2005| 200| 3| 31| 8| 0|Apr| 0| 433|72| 1| 0|3|49|||
52| 6| 2005| 200| 3| 31| 9| 0|Apr| 0| 433|91| 1| 0|3|50|||
